IAR,ModelSize,main_policy,mean_latency_ms,std_latency_ms,n,arrival_rate,sem_latency_ms
2000.0,4.0,best_acc_1,1817.054086261325,1449.3662856079177,18,0.5,341.618909658839
1000.0,4.0,best_acc_1,2170.583791202969,1276.9941857064907,18,1.0,300.990416082951
500.0,4.0,best_acc_1,4172.942195619856,1866.5815657664089,14,2.0,498.8649073975681
200.0,4.0,best_acc_1,5042.029765936045,2472.9717216055856,13,5.0,685.8789496170306
100.0,4.0,best_acc_1,6006.607969601949,2147.4008167551033,12,10.0,619.9012198057906
75.0,4.0,best_acc_1,7433.280825614929,2806.8301757360864,8,13.333333333333334,992.3643254510077
50.0,4.0,best_acc_1,8512.963601521082,3116.6231611928474,14,20.0,832.9525766334265
2000.0,2.0,greedy,2384.9475913577608,2696.829959496814,9,0.5,898.9433198322713
1000.0,2.0,greedy,2940.3686890235313,796.6714880172389,13,1.0,220.95691536510384
500.0,2.0,greedy,5696.460290388627,1559.8741376858316,11,2.0,470.31974862573463
200.0,2.0,greedy,6158.071845769882,1972.1231922733855,8,5.0,697.2508412958862
100.0,2.0,greedy,8309.021333853403,1756.5107969907506,12,10.0,507.060990738547
75.0,2.0,greedy,8441.471470726861,2740.4963997080035,9,13.333333333333334,913.4987999026679
50.0,2.0,greedy,9983.15388506109,3950.5174828056056,11,20.0,1191.1258380186803
2000.0,3.0,greedy,2835.7656717300415,4053.2633302412005,10,0.5,1281.7544080001435
1000.0,3.0,greedy,3436.7674350738525,1033.5168533109563,10,1.0,326.8267256632757
500.0,3.0,greedy,6643.618788037981,2161.5816489406266,7,2.0,817.0010688082602
200.0,3.0,greedy,8348.58230749766,2631.2876128632283,12,5.0,759.5873058009564
100.0,3.0,greedy,11105.150204438429,1843.365950717869,13,10.0,511.257727289054
75.0,3.0,greedy,12078.496846285734,2198.3966698378163,11,13.333333333333336,662.8415358380779
50.0,3.0,greedy,12998.41276804606,4975.888953132927,18,20.0,1172.828273730508
2000.0,2.0,randomized,3068.42178106308,1444.729442739588,4,0.5,722.364721369794
1000.0,2.0,randomized,5387.003421783447,1712.6461537379137,9,1.0,570.8820512459712
500.0,2.0,randomized,7925.593465566634,1459.4676573716595,8,2.0,515.9997387249725
200.0,2.0,randomized,11344.101450660011,2592.7214249204158,11,5.0,781.7349229433298
100.0,2.0,randomized,12184.167385101318,2558.6488372254757,6,10.0,1044.5640136946515
75.0,2.0,randomized,13642.310229214754,2209.856582323209,11,13.333333333333336,666.2968294602921
50.0,2.0,randomized,15551.401138305664,2388.8245475437134,11,20.0,720.2577012902728
2000.0,3.0,randomized,3368.1359820895723,871.6878021766935,9,0.5,290.5626007255645
1000.0,3.0,randomized,7720.110386610031,2714.569217768295,8,1.0,959.7451509421115
500.0,3.0,randomized,10996.482150895255,2224.6829461849647,14,2.0,594.5715270587849
200.0,3.0,randomized,12455.249011516571,1929.335249939268,8,5.0,682.1230192071494
100.0,3.0,randomized,15786.11820936203,1770.7797716391026,8,10.0,626.0651922569878
75.0,3.0,randomized,16637.534965168346,1825.9301029559124,11,13.333333333333336,550.5386404472515
50.0,3.0,randomized,20182.989510622894,4883.389352522492,11,20.0,1472.397289775791
